Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Confissão Espontânea,Comparação Pena Provisória,Crime Tentado,Repouso Noturno,Conversão da Pena
0094720-13.2017.8.26.0050,Furto Simples,SÃO PAULO,12ª Vara Criminal,EVA LOBO CHAIB DIAS JORGE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0096005-66.2002.8.26.0050,Furto Simples,SÃO PAULO,28ª Vara Criminal,Fernanda Galizia Noriega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0098218-98.2009.8.26.0050,Furto Simples,SÃO PAULO,23ª Vara Criminal,Valéria Longobardi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0099065-85.2018.8.26.0050,Furto Simples,SÃO PAULO,31ª Vara Criminal,Dr(a). Ana Helena Rodrigues Mellim,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0099801-84.2010.8.26.0050,Furto Simples,SÃO PAULO,13ª Vara Criminal,Dr(a). Gerdinaldo Quichaba Costa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0104165-89.2016.8.26.0050,Furto Simples,SÃO PAULO,15ª Vara Criminal,MANOELA ASSEF DA SILVA,365,80,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Sim,Não,Convertida
0104458-88.2018.8.26.0050,Furto Simples,SÃO PAULO,7ª Vara Criminal,Dr(a). Paulo Eduardo Balbone Costa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0107972-83.2017.8.26.0050,Furto Simples,SÃO PAULO,9ª Vara Criminal,Dr(a). Lilian Lage Humes,N/A,N/A,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Diferente da base,Não,Não,Não convertida
0108358-79.2018.8.26.0050,Furto Simples,SÃO PAULO,18ª Vara Criminal,Dr(a). Marcello Ovidio Lopes Guimarães,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0109162-57.2012.8.26.0050,Furto Simples,SÃO PAULO,14ª Vara Criminal,LETICIA DE ASSIS BRUNING,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0830118-34.2004.8.26.0050,Furto Simples,SÃO PAULO,14ª Vara Criminal,Dr FERNANDO AUGUSTO ANDRADE CONCEIÇÃO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005151-18.2022.8.26.0564,Furto Simples,SÃ£o Bernardo do Campo,1Âª Vara Criminal,Sandra Regina Nostre Marques,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
